Time|Position_1|Position_2|Position_3|Position_4|Position_5|Position_6|Velocity_1|Velocity_2|Velocity_3|Velocity_4|Velocity_5|Velocity_6|Acceleration_1|Acceleration_2|Acceleration_3|Acceleration_4|Acceleration_5|Acceleration_6
0 sec|0|0|0|0|0|0|0|0|0|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.02 sec|-5.17334049986563e-05|7.39048642837947e-05|1.4109110454179e-05|0|0|0|-0.005166094793143|0.00738013541877572|0.00140893494358446|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.0401 sec|-0.000206933619994625|0.000295619457135179|5.64364418167159e-05|0|0|0|-0.010332189586286|0.0147602708375514|0.00281786988716891|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.0601 sec|-0.000465600644987907|0.000665143778554152|0.000126981994087611|0|0|0|-0.015498284379429|0.0221404062563272|0.00422680483075337|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.0801 sec|-0.0008277344799785|0.00118247782854071|0.000225745767266864|0|0|0|-0.020664379172572|0.0295205416751029|0.00563573977433782|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.1001 sec|-0.00129333512496641|0.00184762160709487|0.000352727761354475|0|0|0|-0.025830473965715|0.0369006770938786|0.00704467471792228|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.1202 sec|-0.00186240257995163|0.00266057511421661|0.000507927976350443|0|0|0|-0.030996568758858|0.0442808125126543|0.00845360966150673|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.1402 sec|-0.00253493684493416|0.00362133834990594|0.00069134641225477|0|0|0|-0.036162663552001|0.05166094793143|0.00986254460509119|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.1602 sec|-0.003310937919914|0.00472991131416286|0.000902983069067455|0|0|0|-0.041328758345144|0.0590410833502058|0.0112714795486756|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.1803 sec|-0.00419040580489116|0.00598629400698737|0.0011428379467885|0|0|0|-0.046494853138287|0.0664212187689815|0.0126804144922601|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.2003 sec|-0.00517334049986563|0.00739048642837947|0.0014109110454179|0|0|0|-0.05166094793143|0.0738013541877572|0.0140893494358446|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.2203 sec|-0.00625974200483741|0.00894248857833916|0.00170720236495566|0|0|0|-0.0568270427245731|0.0811814896065329|0.015498284379429|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.2403 sec|-0.0074496103198065|0.0106423004568664|0.00203171190540177|0|0|0|-0.0619931375177161|0.0885616250253086|0.0169072193230135|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.2604 sec|-0.00874294544477291|0.0124899220639613|0.00238443966675625|0|0|0|-0.0671592323108591|0.0959417604440843|0.0183161542665979|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.2804 sec|-0.0101397473797366|0.0144853533996238|0.00276538564901908|0|0|0|-0.0723253271040021|0.10332189586286|0.0197250892101824|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.3004 sec|-0.0116400161246977|0.0166285944638538|0.00317454985219027|0|0|0|-0.0774914218971451|0.110702031281636|0.0211340241537668|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.3204 sec|-0.013243751679656|0.0189196452566514|0.00361193227626982|0|0|0|-0.0826575166902881|0.118082166700412|0.0225429590973513|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.3405 sec|-0.0149509540446117|0.0213585057780167|0.00407753292125773|0|0|0|-0.0878236114834311|0.125462302119187|0.0239518940409357|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.3605 sec|-0.0167616232195646|0.0239451760279495|0.00457135178715399|0|0|0|-0.0929897062765741|0.132842437537963|0.0253608289845202|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.3805 sec|-0.0186757592045149|0.0266796560064499|0.00509338887395861|0|0|0|-0.0981558010697171|0.140222572956739|0.0267697639281047|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.4006 sec|-0.0206933619994625|0.0295619457135179|0.00564364418167159|0|0|0|-0.10332189586286|0.147602708375514|0.0281786988716891|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.4206 sec|-0.0228144316044074|0.0325920451491534|0.00622211771029293|0|0|0|-0.108487990656003|0.15498284379429|0.0295876338152736|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.4406 sec|-0.0250389680193496|0.0357699543133566|0.00682880945982263|0|0|0|-0.113654085449146|0.162362979213066|0.030996568758858|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.4606 sec|-0.0273669712442892|0.0390956732061274|0.00746371943026068|0|0|0|-0.118820180242289|0.169743114631842|0.0324055037024425|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.4807 sec|-0.029798441279226|0.0425692018274657|0.0081268476216071|0|0|0|-0.123986275035432|0.177123250050617|0.0338144386460269|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
0.5007 sec|-0.0323333781241602|0.0461905401773717|0.00881819403386186|0|0|0|-0.129152369828575|0.184503385469393|0.0352233735896114|0|0|0|-0.25794296173268|0.3684899453324|0.0703480804725491|0|0|0
