Time|Position_1|Position_2|Position_3|Position_4|Position_5|Position_6|Velocity_1|Velocity_2|Velocity_3|Velocity_4|Velocity_5|Velocity_6|Acceleration_1|Acceleration_2|Acceleration_3|Acceleration_4|Acceleration_5|Acceleration_6
0 sec|-0.907571211037051|0.715584993317675|0.628318530717959|1.5707963267949|0.977384381116825|0|0|0|0|0|0|0|0.00584669346049482|0.0760070149864325|-0.128627256130886|-0.163707416893855|0.029233467302474|0
0.02 sec|-0.907570038415947|0.715600237392034|0.628292733053659|1.57076349340397|0.977390244222347|0|0.000117097874818806|0.00152227237264448|-0.00257615324601374|-0.00327874049492657|0.00058548937409403|0|0.00584669346049482|0.0760070149864325|-0.128627256130886|-0.163707416893855|0.029233467302474|0
0.0401 sec|-0.907566520552633|0.715645969615111|0.628215340060759|1.57066499323119|0.977407833538915|0|0.000234195749637613|0.00304454474528896|-0.00515230649202747|-0.00655748098985315|0.00117097874818806|0|0.00584669346049482|0.0760070149864325|-0.128627256130886|-0.163707416893855|0.029233467302474|0
0.0601 sec|-0.907560657447111|0.715722189986906|0.62808635173926|1.57050082627655|0.977437149066529|0|0.000351293624456419|0.00456681711793344|-0.00772845973804121|-0.00983622148477972|0.00175646812228209|0|0.00584669346049482|0.0760070149864325|-0.128627256130886|-0.163707416893855|0.029233467302474|0
0.0801 sec|-0.907552449099379|0.715828898507419|0.627905768089161|1.57027099254006|0.977478190805188|0|0.000468391499275226|0.00608908949057792|-0.0103046129840549|-0.0131149619797063|0.00234195749637612|0|0.00584669346049482|0.0760070149864325|-0.128627256130886|-0.163707416893855|0.029233467302474|0
0.1001 sec|-0.907541895509438|0.71596609517665|0.627673589110463|1.56997549202172|0.977530958754892|0|0.000585489374094032|0.0076113618632224|-0.0128807662300687|-0.0163937024746329|0.00292744687047015|0|0.00584669346049482|0.0760070149864325|-0.128627256130886|-0.163707416893855|0.029233467302474|0
0.1202 sec|-0.907528996677288|0.716133779994599|0.627389814803165|1.56961432472152|0.977595452915641|0|0.000702587248912838|0.00913363423586688|-0.0154569194760824|-0.0196724429695594|0.00351293624456418|0|0.00584669346049482|0.0760070149864325|-0.128627256130886|-0.163707416893855|0.029233467302474|0
0.1402 sec|-0.907513752602929|0.716331952961266|0.627054445167267|1.56918749063947|0.977671673287436|0|0.000819685123731645|0.0106559066085114|-0.0180330727220962|-0.022951183464486|0.00409842561865821|0|0.00584669346049482|0.0760070149864325|-0.128627256130886|-0.163707416893855|0.029233467302474|0
0.1602 sec|-0.907496163286361|0.716560614076651|0.626667480202769|1.56869498977556|0.977759619870277|0|0.000936782998550451|0.0121781789811558|-0.0206092259681099|-0.0262299239594126|0.00468391499275224|0|0.00584669346049482|0.0760070149864325|-0.128627256130886|-0.163707416893855|0.029233467302474|0
0.1803 sec|-0.907476228727584|0.716819763340754|0.626228919909672|1.5681368221298|0.977859292664162|0|0.00105388087336926|0.0137004513538003|-0.0231853792141236|-0.0295086644543392|0.00526940436684627|0|0.00584669346049482|0.0760070149864325|-0.128627256130886|-0.163707416893855|0.029233467302474|0
0.2003 sec|-0.907453948926598|0.717109400753574|0.625738764287975|1.56751298770219|0.977970691669094|0|0.00117097874818806|0.0152227237264448|-0.0257615324601374|-0.0327874049492657|0.0058548937409403|0|0.00584669346049482|0.0760070149864325|-0.128627256130886|-0.163707416893855|0.029233467302474|0
